,assist_percentage,block_percentage,defensive_rebound_percentage,free_throw_attempt_rate,offensive_rebound_percentage,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,three_point_percentage,free_throw_percentage,turnover_percentage,usage_percentage,box_plus_minus,name,year,minutes_played,value_over_replacement_player,attempted_three_point_field_goals,attempted_free_throws,steals,assists,blocks,turnovers,age,yrs_played,college,lkup,col_lkup
52,8.1,3.5,16.4,0.424,8.3,1,0.005,12.3,0.568,0,0.698924731,13.2,17.4,-0.4,Aaron Williams,2002,1546,0.6,2,186,29,77,76,79,30,8,Xavier ,Aaron Williams Xavier ,Aaron Williams xavier
53,9,2.7,13.9,0.296,9.8,0.9,0.002,11.8,0.504,0,0.784615385,14.6,16.4,-1.6,Aaron Williams,2003,1597,0.2,1,130,27,88,57,85,31,9,Xavier ,Aaron Williams Xavier ,Aaron Williams xavier
54,10.4,2.7,17,0.453,8.9,1.4,0.009,13,0.549,0.333333333,0.677419355,17.8,17.5,-1.6,Aaron Williams,2004,1337,0.1,3,155,34,81,46,89,32,10,Xavier ,Aaron Williams Xavier ,Aaron Williams xavier
55,4.204,1.972,16.276,0.27848,6.124,0.828,0,11.1,0.52244,0,0.877714286,19.348,12.884,-6.632,Aaron Williams,2005,315,-0.3,0,17,5,8,8,17,33,11,Xavier ,Aaron Williams Xavier ,Aaron Williams xavier
56,3.588,2.139,18.12,0.32905,9.38,1.143,0,13.65,0.5519,0,0.693910256,13.058,13.618,-3.651,Aaron Williams,2006,791,-0.3,0,58,17,17,21,30,34,12,Xavier ,Aaron Williams Xavier ,Aaron Williams xavier
57,2.9,2.9,18.4,0.415,8.7,1,0.019,13.6,0.606,0,0.818181818,22.3,10,-2.7,Aaron Williams,2007,374,-0.1,1,22,7,7,14,18,35,13,Xavier ,Aaron Williams Xavier ,Aaron Williams xavier
58,4.9,3.8,18,0.327,5.8,2.1,0,11.9,0.54,0,0.777777778,17.1,11.8,-2.5,Aaron Williams,2008,297,0,0,18,12,9,15,13,36,14,Xavier ,Aaron Williams Xavier ,Aaron Williams xavier
59,7.1,1.6,12,0.262,2.8,1.4,0.436,7.4,0.439,0.353846154,0.58974359,17,17.1,-5.3,Abdel Nader,2018,522,-0.4,65,39,15,26,10,34,24,1,Iowa State,Abdel Nader Iowa State,Abdel Nader iowa-state
60,3.8,1.5,15.7,0.167,2,1.3,0.465,8.6,0.522,0.32,0.75,10.1,15.1,-3.2,Abdel Nader,2019,694,-0.2,100,36,20,20,12,26,25,2,Iowa State,Abdel Nader Iowa State,Abdel Nader iowa-state
61,6.4,2,10.6,0.251,1.8,1.3,0.487,6.4,0.591,0.375,0.772727273,12.8,17,-1,Abdel Nader,2020,867,0.2,128,66,23,38,20,43,26,3,Iowa State,Abdel Nader Iowa State,Abdel Nader iowa-state
62,1.5,2.9,16,0.43,8.3,1,0.003,12.1,0.463,0,0.675,14,19.4,-6.5,Acie Earl,1994,1149,-1.3,1,160,24,12,53,72,23,1,Iowa,Acie Earl Iowa,Acie Earl iowa
63,1.4,2.6,14.6,0.426,10.4,1.5,0,12.5,0.409,0,0.482758621,14.8,19.7,-8.9,Acie Earl,1995,208,-0.4,0,29,6,2,8,14,24,2,Iowa,Acie Earl Iowa,Acie Earl iowa
64,6.9,4.3,14.3,0.413,9.2,1.4,0.011,11.7,0.484,0,0.719298246,13.1,25.2,-5.1,Acie Earl,1996,655,-0.5,3,114,18,27,37,49,25,3,Iowa,Acie Earl Iowa,Acie Earl iowa
65,6.653,4.43,14.762,0.46067,7.975,1.607,0.02912,11.332,0.43235,0,0.636285714,14.135,22.68,-4.446,Acie Earl,1997,500,-0.3,5,84,15,20,28,35,26,4,Iowa,Acie Earl Iowa,Acie Earl iowa
66,20.4,0,6,0.203,1.6,1.8,0.143,3.8,0.455,0.205882353,0.791666667,17.8,16.5,-5.2,Acie Law,2008,865,-0.7,34,48,29,113,0,56,23,1,Texas A&M,Acie Law Texas A&M,Acie Law texas-am
67,23.4,0.4,10.9,0.432,1.3,1.1,0.209,6.1,0.49,0.310344828,0.816666667,14.9,16.3,-2.9,Acie Law,2009,560,-0.1,29,60,11,86,3,29,24,2,Texas A&M,Acie Law Texas A&M,Acie Law texas-am
68,17.576,0.35,6.618,0.7092,1.45,2.298,0.2236,4.092,0.60562,0.286666667,0.77362963,14.46,21.752,-1.014,Acie Law,2010,234,0,16,49,11,26,1,17,25,3,Texas A&M,Acie Law Texas A&M,Acie Law texas-am
69,16.342,0,8.212,0.34939,1.886,2.2,0.19768,4.999,0.49612,0.174,0.738555556,16.676,15.652,-3.98,Acie Law,2011,726,-0.4,36,64,32,84,0,43,26,4,Texas A&M,Acie Law Texas A&M,Acie Law texas-am
70,17.984,0.66,7.541,0.10594,1.005,0.931,0.42658,4.139,0.40649,0.353636364,0.665,3.333,16.427,-5.204,Adam Harrington,2003,111,-0.1,14,4,2,12,1,2,22,1,Auburn ,Adam Harrington Auburn ,Adam Harrington auburn
71,7,0.7,19.5,0.63,11.8,1.8,0.003,15.5,0.564,0,0.700421941,17.2,15.5,-2.2,Adam Keefe,1993,1549,-0.1,1,237,57,80,16,100,22,1,Stanford,Adam Keefe Stanford,Adam Keefe stanford
72,6.4,0.8,17.9,0.521,11.1,1.3,0,14.5,0.521,0,0.72972973,18.6,18.1,-3.5,Adam Keefe,1994,763,-0.3,0,111,20,34,9,60,23,2,Stanford,Adam Keefe Stanford,Adam Keefe stanford
73,3.5,1.6,18,0.581,14,1.5,0,16.1,0.616,0,0.676300578,14.2,15.6,-0.4,Adam Keefe,1995,1270,0.5,0,173,36,30,25,62,24,3,Stanford,Adam Keefe Stanford,Adam Keefe stanford
74,5.5,2,19.5,0.581,13,1.6,0.012,16.3,0.574,0,0.691542289,16.8,14,-0.6,Adam Keefe,1996,1708,0.6,4,201,51,64,41,88,25,4,Stanford,Adam Keefe Stanford,Adam Keefe stanford
75,5,1.2,18.2,0.644,10.9,1.7,0.006,14.7,0.572,0,0.689320388,18,12.7,-1,Adam Keefe,1997,915,0.2,1,103,30,32,13,45,26,5,Stanford,Adam Keefe Stanford,Adam Keefe stanford
76,6.7,0.9,14.8,0.472,11.6,1.4,0,13.3,0.605,0,0.81,12.2,13.2,0.6,Adam Keefe,1998,2047,1.3,0,200,52,89,24,71,27,6,Stanford,Adam Keefe Stanford,Adam Keefe stanford
77,7.2,1.4,16.1,0.718,10.5,1.4,0.032,13.5,0.533,0,0.696629213,16.8,14.6,-0.8,Adam Keefe,1999,642,0.2,4,89,16,28,12,33,28,7,Stanford,Adam Keefe Stanford,Adam Keefe stanford
78,8.5,1.7,18,0.277,9.3,1.5,0.008,13.7,0.463,0,0.805555556,24,14.7,-4,Adam Keefe,2000,604,-0.3,1,36,17,34,13,46,29,8,Stanford,Adam Keefe Stanford,Adam Keefe stanford
79,6.5,1.7,16.4,0.396,10.5,1.7,0.019,13.3,0.45,0.333333333,0.619047619,17.6,11.5,-4.3,Adam Keefe,2001,836,-0.5,3,63,28,36,20,40,30,9,Stanford,Adam Keefe Stanford,Adam Keefe stanford
80,11.9,0.2,9.2,0.179,2.7,0.6,0.273,5.9,0.45,0.337209302,0.710059172,11.3,22.4,-5.1,Adam Morrison,2007,2326,-1.8,258,169,28,163,6,130,22,1,Gonzaga,Adam Morrison Gonzaga,Adam Morrison gonzaga
81,9.388,0.47,10.594,0.10402,3.132,0.658,0.42982,6.916,0.44816,0.33173913,0.746190476,12.038,17.498,-4.782,Adam Morrison,2009,711,-0.5,96,23,9,41,4,32,24,2,Gonzaga,Adam Morrison Gonzaga,Adam Morrison gonzaga
82,11.3,0.6,10.1,0.094,4.7,0.6,0.247,7.4,0.418,0.238095238,0.625,10.2,18.3,-4.7,Adam Morrison,2010,241,-0.2,21,8,3,18,2,10,25,3,Gonzaga,Adam Morrison Gonzaga,Adam Morrison gonzaga
83,5.3,0.9,12.4,0.163,2,1,0.663,7,0.502,0.31147541,0.666666667,6.6,11.9,-5.5,Admiral Schofield,2020,368,-0.3,61,15,8,15,4,7,22,1,Tennessee,Admiral Schofield Tennessee,Admiral Schofield tennessee
84,3.5,5.4,18.6,0.365,11.5,1,0.006,15,0.418,0,0.435483871,20.2,16.4,-5.3,Adonal Foyle,1998,656,-0.6,1,62,13,14,52,50,22,1,Colgate,Adonal Foyle Colgate,Adonal Foyle colgate
85,4.7,5.2,20.5,0.421,13.5,1.3,0,16.9,0.45,0,0.490196078,17.8,12.6,-1.3,Adonal Foyle,1999,614,0.1,0,51,15,18,43,31,23,2,Colgate,Adonal Foyle Colgate,Adonal Foyle colgate
86,4,5.8,16.9,0.237,10.4,0.8,0,13.5,0.5,0,0.377777778,14.5,12.5,-2.9,Adonal Foyle,2000,1654,-0.4,0,90,26,42,136,71,24,3,Colgate,Adonal Foyle Colgate,Adonal Foyle colgate
87,5.2,7.6,19.7,0.181,10.5,1.1,0,14.7,0.422,0,0.441176471,16.3,14,-2.8,Adonal Foyle,2001,1457,-0.3,0,68,31,48,156,79,25,4,Colgate,Adonal Foyle Colgate,Adonal Foyle colgate
88,4.3,7.7,17.3,0.242,10.6,1.2,0,13.9,0.445,0,0.397849462,15.1,14.2,-2.1,Adonal Foyle,2002,1485,0,0,93,36,41,168,76,26,5,Colgate,Adonal Foyle Colgate,Adonal Foyle colgate
89,3.1,7.6,18.5,0.301,10.6,1.1,0.003,14.6,0.563,0,0.673076923,15.7,11,0.9,Adonal Foyle,2003,1787,1.3,1,104,40,37,205,73,27,6,Colgate,Adonal Foyle Colgate,Adonal Foyle colgate
90,4.8,5.8,22.3,0.269,10.6,0.6,0,16.4,0.471,0,0.542857143,12.6,13.4,-1.1,Adonal Foyle,2004,572,0.1,0,35,6,17,46,21,28,7,Colgate,Adonal Foyle Colgate,Adonal Foyle colgate
91,4.9,6.7,17.7,0.232,10.1,0.8,0,13.7,0.514,0,0.555555556,14.5,10.4,-1.2,Adonal Foyle,2005,1700,0.3,0,72,26,56,159,58,29,8,Colgate,Adonal Foyle Colgate,Adonal Foyle colgate
92,2.8,5.1,17.6,0.223,8.5,1.2,0,13,0.524,0,0.611940299,19.5,10,-1.7,Adonal Foyle,2006,1824,0.1,0,67,44,33,125,80,30,9,Colgate,Adonal Foyle Colgate,Adonal Foyle colgate
93,5.5,8,17.7,0.294,11.5,1.1,0,14.6,0.557,0,0.44,19.3,10.7,-0.7,Adonal Foyle,2007,475,0.2,0,25,11,19,50,23,31,10,Colgate,Adonal Foyle Colgate,Adonal Foyle colgate
94,3.4,4.2,19.6,0.222,11,1.1,0,15.5,0.464,0,0.470588235,16,11.8,-1.9,Adonal Foyle,2008,774,0,0,34,16,18,45,32,32,11,Colgate,Adonal Foyle Colgate,Adonal Foyle colgate
95,2.565,9.215,30.115,0.51775,16.815,0,0,23.56,0.59185,0,0.475,17.1,12.35,3.965,Adonal Foyle,2009,62,0.1,0,6,0,1,8,3,33,12,Colgate,Adonal Foyle Colgate,Adonal Foyle colgate
96,33.3,0.8,4.1,0,4.4,0,0.435,4.2,0.326,0.3,0,20.7,15.6,-5.3,Adonis Jordan,1994,79,-0.1,10,0,0,19,1,6,23,1,Kansas,Adonis Jordan Kansas,Adonis Jordan kansas
97,27,0,0,1,0,9.2,0.5,0,0.521,0,0.5,25.8,20.6,7.3,Adonis Jordan,1999,18,0,2,4,3,3,0,2,28,2,Kansas,Adonis Jordan Kansas,Adonis Jordan kansas
98,13.445,0,9.23,0.07215,0,0,0.35645,4.615,0.48615,0.175,0.65,5.845,18.46,-6.225,Adonis Thomas,2014,37,0,5,1,0,3,0,1,20,1,Memphis ,Adonis Thomas Memphis ,Adonis Thomas memphis
99,6.402,0.97,18.179,0.20937,7.17,1.342,0.04115,12.485,0.44407,0.12125,0.654318182,15.423,16.963,-6.914,Adreian Payne,2015,739,-0.9,9,46,19,30,9,44,23,1,Michigan State,Adreian Payne Michigan State,Adreian Payne michigan-state
100,8.9,1.8,21.5,0.179,4.8,1.7,0.221,13.3,0.422,0.28125,0.653846154,18.7,17.7,-6.2,Adreian Payne,2016,486,-0.5,32,26,16,29,11,36,24,2,Michigan State,Adreian Payne Michigan State,Adreian Payne michigan-state
101,8,4.4,21,0.352,7.7,3,0.278,14.3,0.505,0.2,0.736842105,11.4,23.1,-2.3,Adreian Payne,2017,135,0,15,19,8,7,7,8,25,3,Michigan State,Adreian Payne Michigan State,Adreian Payne michigan-state
102,0,0,18,0.6,5.1,2.3,0.3,11.5,0.831,0.666666667,0.833333333,13.7,15,2.4,Adreian Payne,2018,43,0,3,6,2,0,0,2,26,4,Michigan State,Adreian Payne Michigan State,Adreian Payne michigan-state
103,13.4,0.6,15.2,0.383,7.2,3.1,0.138,11,0.503,0.280701754,0.753164557,16.2,13,0.6,Adrian Griffin,2000,1927,1.3,57,158,116,177,15,93,25,1,Seton Hall ,Adrian Griffin Seton Hall ,Adrian Griffin seton-hall
104,11.7,1,19.4,0.247,8,2.5,0.268,13.5,0.432,0.346153846,0.75,14.3,15.1,-2.4,Adrian Griffin,2001,377,0,26,24,18,27,5,18,26,2,Seton Hall ,Adrian Griffin Seton Hall ,Adrian Griffin seton-hall
105,11.3,0.6,12.7,0.136,5.6,2.8,0.15,9.2,0.545,0.296296296,0.836734694,9.9,13.8,1.3,Adrian Griffin,2002,1383,1.1,54,49,75,106,12,42,27,3,Seton Hall ,Adrian Griffin Seton Hall ,Adrian Griffin seton-hall
106,11,0.3,14.1,0.095,7.1,2.9,0.071,10.6,0.463,0.25,0.84375,11.8,13.2,-0.3,Adrian Griffin,2003,1373,0.6,24,32,77,105,6,47,28,4,Seton Hall ,Adrian Griffin Seton Hall ,Adrian Griffin seton-hall
107,11.6,1.2,15.2,0.222,0.9,2.9,0.111,8.4,0.278,0.5,0,13.2,8.2,-1.9,Adrian Griffin,2004,133,0,2,4,7,10,2,3,29,5,Seton Hall ,Adrian Griffin Seton Hall ,Adrian Griffin seton-hall
