assist_percentage,assists,block_percentage,blocks,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_rebounds,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_attempts,free_throw_percentage,free_throws,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_rebounds,offensive_win_shares,personal_fouls,player_efficiency_rating,player_id,points,points_produced,position,steal_percentage,steals,team_abbreviation,three_point_attempt_rate,three_point_attempts,three_point_percentage,three_pointers,total_rebound_percentage,total_rebounds,true_shooting_percentage,turnover_percentage,turnovers,two_point_attempts,two_point_percentage,two_pointers,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name,season,yrs_played,assists_per_40,blocks_per_40,defensive_rebounds_per_40,free_throw_attempts_per_40,free_throws_per_40,offensive_rebounds_per_40,personal_fouls_per_40,points_per_40,steals_per_40,three_point_attempts_per_40,three_pointers_per_40,total_rebounds_per_40,turnovers_per_40,two_point_attempts_per_40,two_pointers_per_40
7,141,4.2,152,4,,2,18.9,685,7.3,0.534,1085,0.511,554,0.515,559,0.572,320,143,142,81,3893,2,10.5,334,6.3,363,18.2,johnathan-williams-2,1478,1481,Forward,1.2,78,gonzaga,0.138,150,0.333,50,14.9,1019,0.547,15.8,254,935,0.539,504,21.2,225,13.6,0.139,Johnathan Williams,Career,4,1.45,1.56,7.04,5.74,3.29,3.43,3.73,15.19,0.8,1.54,0.51,10.47,2.61,9.61,5.18
13.6,120,2.6,50,6.7,,2.7,13.3,242,3.5,0.481,748,0.437,327,0.539,403,0.777,313,61,61,76,2014,4.1,6.4,109,4.4,164,21.4,josh-okogie-1,1033,968,Guard,2.6,90,georgia-tech,0.231,173,0.382,66,10,351,0.55,12.8,138,575,0.454,261,27.4,207,7.9,0.157,Josh Okogie,Career,2,2.38,0.99,4.81,8,6.22,2.16,3.26,20.52,1.79,3.44,1.31,6.97,2.74,11.42,5.18
16,300,0.8,25,7,,2.9,9.4,292,4.6,0.53,1105,0.448,495,0.362,400,0.798,319,141,79,77,3518,4.1,5.3,158,8.5,297,18.3,jp-macura-1,1491,1462,Guard,2.7,166,xavier,0.468,517,0.352,182,7.4,450,0.576,14.1,213,588,0.532,313,21.2,190,13.2,0.15,JP Macura,Career,4,3.41,0.28,3.32,4.55,3.63,1.8,3.38,16.95,1.89,5.88,2.07,5.12,2.42,6.69,3.56
21.8,346,1.4,38,6.7,,2.5,10.2,290,4.9,0.505,1103,0.444,490,0.521,575,0.797,458,131,99,75,3390,4.2,2.4,65,9.1,244,20.1,keenan-evans-1,1571,1533,Guard,2.3,128,texas-tech,0.335,369,0.36,133,6.4,355,0.571,13.9,223,734,0.486,357,24.6,175,13.9,0.165,Keenan Evans,Career,4,4.08,0.45,3.42,6.78,5.4,0.77,2.88,18.54,1.51,4.35,1.57,4.19,2.63,8.66,4.21
9.3,121,5.4,128,8.2,,3.1,20.2,497,5.4,0.534,993,0.472,469,0.274,272,0.776,211,109,70,79,2702,5.1,5.5,124,6.6,155,22.5,keita-bates-diop-1,1272,1164,Forward,1.5,68,ohio-state,0.351,349,0.352,123,13.2,621,0.567,10.7,134,644,0.537,346,23.8,190,12,0.177,Keita Bates-Diop,Career,4,1.79,1.89,7.36,4.03,3.12,1.84,2.29,18.83,1.01,5.17,1.82,9.19,1.98,9.53,5.12
9.1,161,1.8,56,5.5,,1.1,19,569,5.2,0.506,1631,0.437,713,0.31,505,0.786,397,136,71,78,3656,4.4,4.6,140,8.4,283,20.7,kelan-martin-1,2047,1856,Forward,1.3,79,butler,0.395,644,0.348,224,11.8,709,0.547,11.2,237,987,0.495,489,29.6,215,13.6,0.149,Kelan Martin,Career,4,1.76,0.61,6.23,5.53,4.34,1.53,3.1,22.4,0.86,7.05,2.45,7.76,2.59,10.8,5.35
8.8,123,2,51,4.4,,0.7,8,200,3,0.537,980,0.384,376,0.161,158,0.81,128,127,68,78,2777,3.8,1.7,40,5.6,232,14.7,kendall-stephens-1,1181,1000,Guard,1.2,55,nevada,0.791,775,0.388,301,4.9,240,0.56,9,104,205,0.366,75,21.1,197,8.5,0.123,Kendall Stephens,Career,4,1.77,0.73,2.88,2.28,1.84,0.58,3.34,17.01,0.79,11.16,4.34,3.46,1.5,2.95,1.08
15.5,262,0.8,27,4.9,,1.3,12.4,398,4.7,0.528,1473,0.428,631,0.198,291,0.821,239,126,87,75,3796,3.6,1.7,57,7,225,18.1,kendrick-nunn-1,1795,1612,Guard,2.3,146,oakland,0.517,762,0.386,294,7,455,0.557,11.7,213,711,0.474,337,24.7,190,11.7,0.124,Kendrick Nunn,Career,4,2.76,0.28,4.19,3.07,2.52,0.6,2.37,18.91,1.54,8.03,3.1,4.79,2.24,7.49,3.55
14.9,271,2.3,71,8.9,,3.4,20.5,573,5.6,0.542,860,0.484,416,0.357,307,0.625,192,102,85,79,3281,5.5,11,304,8.4,253,21,kenrich-williams-1,1125,1210,Forward,2.5,141,texas-christian,0.313,269,0.375,101,15.8,877,0.559,12.6,145,591,0.533,315,17.6,210,14,0.171,Kenrich Williams,Career,3,3.3,0.87,6.99,3.74,2.34,3.71,3.08,13.72,1.72,3.28,1.23,10.69,1.77,7.21,3.84
14.5,216,2.1,55,5,,0.7,23.1,700,6.6,0.511,1435,0.44,631,0.288,413,0.768,317,115,84,79,3186,4.3,7.6,221,7.5,215,22.7,kevin-hervey-1,1783,1659,Forward,2,114,texas-arlington,0.439,630,0.324,204,15.5,921,0.547,12.6,236,805,0.53,427,27.8,210,14.1,0.177,Kevin Hervey,Career,4,2.71,0.69,8.79,5.19,3.98,2.77,2.7,22.39,1.43,7.91,2.56,11.56,2.96,10.11,5.36
