level_0,assist_percentage,block_percentage,box_plus_minus,conference,defensive_box_plus_minus,defensive_rebound_percentage,defensive_win_shares,effective_field_goal_percentage,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempt_rate,free_throw_percentage,games_played,games_started,height,minutes_played,offensive_box_plus_minus,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,player_id,points_produced,position,steal_percentage,team_abbreviation,three_point_attempt_rate,three_point_percentage,total_rebound_percentage,true_shooting_percentage,turnover_percentage,two_point_percentage,usage_percentage,weight,win_shares,win_shares_per_40_minutes,name,season,yrs_played,col_lkup,assists_per_40,blocks_per_40,defensive_rebounds_per_40,free_throw_attempts_per_40,free_throws_per_40,offensive_rebounds_per_40,personal_fouls_per_40,points_per_40,steals_per_40,three_point_attempts_per_40,three_pointers_per_40,total_rebounds_per_40,turnovers_per_40,two_point_attempts_per_40,two_pointers_per_40,max_mp,year,all_star_flag,class
1996-97,,,,big-east,,,1.7,0.557,412,0.481,198,0.396,0.742,34,,77,1163,,,3.7,,alvin-williams-1,,Guard,,villanova,0.415,0.368,,0.593,15.7,0.56,,185,5.5,0.189,Alvin Williams,1996,4,Alvin Williams villanova,4.44,0.41,,5.61,4.16,,2.96,19.95,2.06,5.88,2.17,5.81,3.13,8.29,4.64,2394,,0,starter
1995-96,,,,cusa,,,3.4,0.551,224,0.549,123,0.433,0.649,30,,83,796,,,1.8,,amal-mccaskill-1,,Center,,marquette,0.009,0.5,,0.574,22.4,0.55,,235,5.2,0.261,Amal McCaskill,1995,4,Amal McCaskill marquette,1.91,2.76,,4.87,3.17,,5.43,15.58,0.85,0.1,0.05,13.37,3.92,11.16,6.13,636,,0,scrub
2009-10,29.7,0.4,,big-south,,8.9,1.4,0.425,199,0.347,69,0.317,0.54,29,28,69,961,,1.2,0.4,,amir-johnson-1,254,Guard,1.7,radford,0.533,0.292,5.2,0.443,22.9,0.409,14.5,193,1.9,0.078,Amir Johnson,2009,4,Amir Johnson radford,6.91,0.17,3.58,2.62,1.42,0.46,2.91,8.45,1.21,4.41,1.29,4.04,2.83,3.87,1.58,911,,0,scrub
2003-04,34.2,0.2,,big-east,,,1.8,0.544,411,0.455,187,0.285,0.761,31,31,70,1119,,,3.1,,andre-barrett-1,,Guard,,seton-hall,0.462,0.384,6.1,0.574,14.9,0.516,25,172,5,0.177,Andre Barrett,2003,4,Andre Barrett seton-hall,6.54,0.11,3.32,4.18,3.18,0.97,2.22,19.16,1.57,6.79,2.61,4.29,2.93,7.9,4.08,483,,0,scrub
2011-12,3.4,9.9,4.9,big-east,2.9,17,1.5,0.538,292,0.538,157,0.301,0.295,34,30,82,967,2,14.2,1.4,21.9,andre-drummond-1,328,Center,1.8,connecticut,0.007,0,15.6,0.509,13.5,0.541,20.9,270,2.9,0.121,Andre Drummond,2011,1,Andre Drummond connecticut,0.62,3.81,5.92,3.64,1.08,4.72,3.1,14.06,1.16,0.08,0,10.63,2.15,12,6.49,2666,2016,1,all_star
2003-04,23.7,0.7,,pac-10,,,1.5,0.488,302,0.45,136,0.391,0.788,30,30,78,962,,,1.4,,andre-iguodala-1,,Forward,,arizona,0.242,0.315,14.1,0.542,18.8,0.493,20.4,207,3,0.123,Andre Iguodala,2003,2,Andre Iguodala arizona,6.11,0.46,7.53,4.91,3.87,2.99,3.12,16.13,2,3.04,0.96,10.52,3.45,9.52,4.7,3242,,0,starter
1998-99,,,,wac,,,4.4,0.519,387,0.491,190,0.442,0.69,33,,76,1092,,,3,,andre-miller-1,,Guard,,utah,0.214,0.265,,0.555,16.7,0.553,,,7.4,0.271,Andre Miller,1998,4,Andre Miller utah,6.81,0.55,,6.26,4.32,,2.16,19.05,3.08,3.04,0.81,6.52,3.44,11.14,6.15,3023,,0,starter
2012-13,9.4,4.4,8.1,pac-12,4.8,29.4,2.9,0.515,275,0.48,132,0.356,0.551,31,30,79,1036,3.3,10.6,1.4,21.9,andre-roberson-1,348,Forward,3.9,colorado,0.211,0.328,20,0.524,18.7,0.521,19.9,210,4.3,0.166,Andre Roberson,2012,3,Andre Roberson colorado,1.7,1.58,9.85,3.78,2.08,3.55,2.97,13.01,2.59,2.24,0.73,13.4,2.86,8.38,4.36,2376,,0,starter
2004-05,18.2,4.2,,mwc,,,4.5,0.63,453,0.62,281,0.459,0.692,35,35,85,1224,,,6.4,,andrew-bogut-1,,Forward,,utah,0.055,0.36,24.2,0.648,14.8,0.636,29.7,245,10.9,0.358,Andrew Bogut,2004,2,Andrew Bogut utah,2.68,2.12,9.71,6.8,4.71,4.25,2.55,23.37,1.11,0.82,0.29,13.95,3.14,13.99,8.89,2720,,0,starter
1994-95,,,,sec,,,,0.52,270,0.511,138,0.589,0.723,30,,82,966,,,,,andrew-declercq-1,,Forward,,florida,0.056,0.333,,0.573,19.7,0.522,,230,,,Andrew DeClercq,1994,4,Andrew DeClercq florida,1.74,1.41,,6.58,4.76,,4.18,16.4,1.49,0.62,0.21,10.97,3.52,10.56,5.51,1523,,0,role_player
