col_lkup,height,position,steals,blocks,minutes_played,personal_fouls,assists,free_throw_attempts,free_throws,offensive_rebounds,defensive_rebounds,points,total_rebounds,turnovers,two_point_attempts,two_pointers,three_point_attempts,three_pointers,yrs_played,steals_per_40,blocks_per_40,personal_fouls_per_40,assists_per_40,free_throw_attempts_per_40,free_throws_per_40,offensive_rebounds_per_40,defensive_rebounds_per_40,points_per_40,total_rebounds_per_40,turnovers_per_40,two_point_attempts_per_40,two_pointers_per_40,three_point_attempts_per_40,three_pointers_per_40,free_throw_percentage,three_point_percentage,two_point_percentage,max_season,nba_value_over_replacement_player,nba_steals,nba_blocks,nba_minutes_played,nba_assists,nba_turnovers,nba_attempted_three_point_field_goals,nba_attempted_free_throws,nba_steals_per_40,nba_blocks_per_40,nba_assists_per_40,nba_turnovers_per_40,nba_attempted_three_point_field_goals_per_40,nba_attempted_free_throws_per_40,nba_three_point_percentage,nba_free_throw_percentage,nba_assist_percentage,nba_block_percentage,nba_steal_percentage,nba_usage_percentage,nba_total_rebound_percentage,nba_true_shooting_percentage,nba_turnover_percentage
Rodney Buford creighton,77,Forward,195,59,3566,164,215,462,348,0,0,2116,716,184,1181,566,558,212,4,2.19,0.66,1.84,2.41,5.18,3.9,0,0,23.74,8.03,2.06,13.25,6.35,6.26,2.38,0.753103896,0.379894265,0.479259102,1998,-1.4,75,27,2869,116,105,139,137,1.05,0.38,1.62,1.46,1.94,1.91,0.287769784,0.737226277,7.00592541,0.694457999,1.417601952,19.17504357,8.024224468,0.466148135,8.695712792
Rodney Carney memphis,79,Forward,134,131,3670,280,155,413,296,203,448,1901,651,191,795,372,792,287,4,1.46,1.43,3.05,1.69,4.5,3.23,2.21,4.88,20.72,7.1,2.08,8.66,4.05,8.63,3.13,0.716697337,0.362522727,0.468110692,2005,0.5,147,95,4264,121,141,553,297,1.38,0.89,1.14,1.32,5.19,2.79,0.330922242,0.707070707,4.6190197,1.74587242,1.817260788,18.76756567,7.485131332,0.510490385,8.010530019
Rodney Hood duke,80,Forward,38,23,2200,132,139,176,136,60,231,890,291,84,401,200,298,118,2,0.69,0.42,2.4,2.53,3.2,2.47,1.09,4.2,16.18,5.29,1.53,7.29,3.64,5.42,2.15,0.772522727,0.395758389,0.49872818,2013,3.2,186,51,6814,487,305,1259,524,1.09,0.3,2.86,1.79,7.39,3.08,0.367397363,0.826957546,12.10219254,0.609316701,1.429527443,22.20177282,6.348410919,0.5360201,9.177664808
Rodney McGruder kansas-state,76,Guard,116,36,3702,205,186,332,252,254,400,1576,654,171,763,380,494,188,4,1.25,0.39,2.22,2.01,3.59,2.72,2.74,4.32,17.03,7.07,1.85,8.24,4.11,5.34,2.03,0.759084337,0.380751012,0.498165138,2012,-0.2,116,41,4686,289,148,569,185,0.99,0.35,2.47,1.26,4.86,1.58,0.335676626,0.643243243,8.620081093,0.731348698,1.21047802,12.99664959,7.788775075,0.507611609,10.4283184
Rodney Rogers wake-forest,79,Forward,146,74,2821,249,195,434,301,0,0,1720,705,247,1027,630,152,53,3,2.07,1.05,3.53,2.76,6.15,4.27,0,0,24.39,10,3.5,14.56,8.93,2.16,0.75,0.693746544,0.348657895,0.613733204,1992,2.9,321,190,7978,651,669,573,932,1.61,0.95,3.26,3.35,2.87,4.67,0.347294939,0.654506438,13.42095763,1.70804713,2.084707947,21.8080722,9.634369516,0.533379794,17.07137127
Rodney Stuckey eastern-washington,77,Guard,137,17,1955,143,283,479,386,67,212,1438,279,205,702,379,309,98,2,2.8,0.35,2.93,5.79,9.8,7.9,1.37,4.34,29.42,5.71,4.19,14.36,7.75,6.32,2.01,0.80560334,0.317291262,0.539968661,2006,3.4,304,39,8280,1256,569,263,1186,1.47,0.19,6.07,2.75,1.27,5.73,0.266159696,0.833895447,25.75934783,0.369601449,2.00807971,24.43468599,6.53705314,0.505605435,13.27910628
Ron Mercer kentucky,79,Forward,100,18,1976,146,147,170,133,0,0,1013,314,104,628,332,209,72,2,2.02,0.36,2.96,2.98,3.44,2.69,0,0,20.51,6.36,2.11,12.71,6.72,4.23,1.46,0.782529412,0.344746411,0.528805732,1996,-0.2,345,79,9125,639,501,152,827,1.51,0.35,2.8,2.2,0.67,3.63,0.216396761,0.812557143,12.90800526,0.641758137,1.972067178,23.85304241,5.782681863,0.483736508,10.1961394
Ronald Dupree louisiana-state,79,Forward,109,58,3711,274,205,516,329,270,525,1726,907,259,1153,598,223,67,4,1.17,0.63,2.95,2.21,5.56,3.55,2.91,5.66,18.6,9.78,2.79,12.43,6.45,2.4,0.72,0.637875969,0.300345291,0.518964441,2002,-0.7,56,29,1724,98,90,12,202,1.3,0.67,2.27,2.09,0.28,4.69,0.416666666,0.554455446,9.68863109,1.258642691,1.730220418,18.12853828,10.80365429,0.466953016,13.19042923
Rondae Hollis-Jefferson arizona,79,Forward,72,72,2050,186,114,356,248,160,315,774,475,103,483,251,39,8,2,1.4,1.4,3.63,2.22,6.95,4.84,3.12,6.15,15.1,9.27,2.01,9.42,4.9,0.76,0.16,0.696396067,0.205205128,0.519826087,2014,1.5,230,135,5530,460,331,184,804,1.66,0.98,3.33,2.39,1.33,5.82,0.222826087,0.73880597,12.93141049,1.87761302,1.991320072,19.98401447,13.2538698,0.51615877,13.01254973
Ronnie Brewer arkansas,79,Guard,216,49,2974,153,299,486,326,150,302,1416,452,203,761,389,306,104,3,2.91,0.66,2.06,4.02,6.54,4.38,2.02,4.06,19.05,6.08,2.73,10.24,5.23,4.12,1.4,0.671030864,0.340189542,0.51111958,2005,7.4,395,70,7110,491,256,175,825,2.22,0.39,2.76,1.44,0.98,4.64,0.232,0.707001042,10.49248664,0.764701828,2.856022504,17.01924473,6.595748242,0.567859902,9.498437412
