,assist_percentage,block_percentage,defensive_rebound_percentage,free_throw_attempt_rate,offensive_rebound_percentage,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,box_plus_minus,minutes_played,value_over_replacement_player,name,year,age,yrs_played,college,lkup,col_lkup
74,8.5,1.7,18,0.277,9.3,1.5,0.008,13.7,0.463,24,14.7,-4,604,-0.3,Adam Keefe,2000,29,8,Stanford,Adam Keefe Stanford,Adam Keefe stanford
75,6.5,1.7,16.4,0.396,10.5,1.7,0.019,13.3,0.45,17.6,11.5,-4.3,836,-0.5,Adam Keefe,2001,30,9,Stanford,Adam Keefe Stanford,Adam Keefe stanford
76,11.9,0.2,9.2,0.179,2.7,0.6,0.273,5.9,0.45,11.3,22.4,-5.1,2326,-1.8,Adam Morrison,2007,22,1,Gonzaga,Adam Morrison Gonzaga,Adam Morrison gonzaga
77,9.388,0.47,10.594,0.10402,3.132,0.658,0.42982,6.916,0.44816,12.038,17.498,-4.782,711,-1,Adam Morrison,2009,24,2,Gonzaga,Adam Morrison Gonzaga,Adam Morrison gonzaga
78,11.3,0.6,10.1,0.094,4.7,0.6,0.247,7.4,0.418,10.2,18.3,-4.7,241,-0.2,Adam Morrison,2010,25,3,Gonzaga,Adam Morrison Gonzaga,Adam Morrison gonzaga
79,3.5,5.4,18.6,0.365,11.5,1,0.006,15,0.418,20.2,16.4,-5.3,656,-0.6,Adonal Foyle,1998,22,1,Colgate,Adonal Foyle Colgate,Adonal Foyle colgate
80,4.7,5.2,20.5,0.421,13.5,1.3,0,16.9,0.45,17.8,12.6,-1.3,614,0.1,Adonal Foyle,1999,23,2,Colgate,Adonal Foyle Colgate,Adonal Foyle colgate
81,4,5.8,16.9,0.237,10.4,0.8,0,13.5,0.5,14.5,12.5,-2.9,1654,-0.4,Adonal Foyle,2000,24,3,Colgate,Adonal Foyle Colgate,Adonal Foyle colgate
82,5.2,7.6,19.7,0.181,10.5,1.1,0,14.7,0.422,16.3,14,-2.8,1457,-0.3,Adonal Foyle,2001,25,4,Colgate,Adonal Foyle Colgate,Adonal Foyle colgate
83,4.3,7.7,17.3,0.242,10.6,1.2,0,13.9,0.445,15.1,14.2,-2.1,1485,0,Adonal Foyle,2002,26,5,Colgate,Adonal Foyle Colgate,Adonal Foyle colgate
84,3.1,7.6,18.5,0.301,10.6,1.1,0.003,14.6,0.563,15.7,11,0.9,1787,1.3,Adonal Foyle,2003,27,6,Colgate,Adonal Foyle Colgate,Adonal Foyle colgate
85,4.8,5.8,22.3,0.269,10.6,0.6,0,16.4,0.471,12.6,13.4,-1.1,572,0.1,Adonal Foyle,2004,28,7,Colgate,Adonal Foyle Colgate,Adonal Foyle colgate
86,4.9,6.7,17.7,0.232,10.1,0.8,0,13.7,0.514,14.5,10.4,-1.2,1700,0.3,Adonal Foyle,2005,29,8,Colgate,Adonal Foyle Colgate,Adonal Foyle colgate
87,2.8,5.1,17.6,0.223,8.5,1.2,0,13,0.524,19.5,10,-1.7,1824,0.1,Adonal Foyle,2006,30,9,Colgate,Adonal Foyle Colgate,Adonal Foyle colgate
88,5.5,8,17.7,0.294,11.5,1.1,0,14.6,0.557,19.3,10.7,-0.7,475,0.2,Adonal Foyle,2007,31,10,Colgate,Adonal Foyle Colgate,Adonal Foyle colgate
89,3.4,4.2,19.6,0.222,11,1.1,0,15.5,0.464,16,11.8,-1.9,774,0,Adonal Foyle,2008,32,11,Colgate,Adonal Foyle Colgate,Adonal Foyle colgate
90,2.565,9.215,30.115,0.51775,16.815,0,0,23.56,0.59185,17.1,12.35,3.965,62,0.2,Adonal Foyle,2009,33,12,Colgate,Adonal Foyle Colgate,Adonal Foyle colgate
91,33.3,0.8,4.1,0,4.4,0,0.435,4.2,0.326,20.7,15.6,-5.3,79,-0.1,Adonis Jordan,1994,23,1,Kansas,Adonis Jordan Kansas,Adonis Jordan kansas
92,27,0,0,1,0,9.2,0.5,0,0.521,25.8,20.6,7.3,18,0,Adonis Jordan,1999,28,2,Kansas,Adonis Jordan Kansas,Adonis Jordan kansas
93,13.445,0,9.23,0.07215,0,0,0.35645,4.615,0.48615,5.845,18.46,-6.225,37,0,Adonis Thomas,2014,20,1,Memphis ,Adonis Thomas Memphis ,Adonis Thomas memphis
