,assist_percentage,block_percentage,defensive_rebound_percentage,free_throw_attempt_rate,offensive_rebound_percentage,steal_percentage,three_point_attempt_rate,total_rebound_percentage,true_shooting_percentage,turnover_percentage,usage_percentage,box_plus_minus,minutes_played,value_over_replacement_player,name,year,age,yrs_played
930,9.3,1.0,9.9,0.168,3.1,1.0,0.426,6.5,0.576,10.5,14.0,-0.4,2221,0.9,Arron Afflalo,2010,24,3
931,10.9,1.0,9.9,0.26,2.3,0.7,0.396,6.2,0.62,9.2,14.8,1.4,2324,2.0,Arron Afflalo,2011,25,4
932,11.1,0.5,8.5,0.353,2.3,0.9,0.316,5.5,0.584,9.5,19.1,0.1,2086,1.1,Arron Afflalo,2012,26,5
933,14.6,0.4,10.3,0.246,1.4,0.9,0.265,5.8,0.527,12.1,22.5,-2.9,2307,-0.5,Arron Afflalo,2013,27,6
934,16.9,0.1,10.2,0.332,1.4,0.7,0.297,5.8,0.574,11.2,23.3,-0.2,2552,1.1,Arron Afflalo,2014,28,7
935,8.16,0.19999999999999998,9.689999999999998,0.2231,1.18,0.81,0.3778,5.359999999999999,0.533,10.75,18.939999999999998,-2.4699999999999998,2502,-0.6000000000000001,Arron Afflalo,2015,29,8
936,9.9,0.3,11.0,0.164,1.1,0.5,0.298,6.1,0.531,8.7,17.9,-2.9,2371,-0.5,Arron Afflalo,2016,30,9
937,7.4,0.3,8.4,0.221,0.7,0.7,0.36,4.6,0.559,8.4,14.4,-3.6,1580,-0.7,Arron Afflalo,2017,31,10
938,6.2,1.1,10.1,0.16,0.6,0.3,0.432,5.3,0.516,10.8,12.5,-5.4,682,-0.6,Arron Afflalo,2018,32,11
939,6.4,10.0,31.5,0.5,11.1,0.0,0.0,21.5,0.0,29.1,15.2,-12.8,20,-0.1,Art Long,2001,28,1
940,6.2,2.1,16.9,0.348,13.0,1.2,0.0,15.0,0.506,18.3,16.2,-4.8,989,-0.7,Art Long,2002,29,2
941,4.6659999999999995,3.964,22.016000000000002,0.138,11.21,1.256,0.0428,16.494,0.37729999999999997,20.058,21.304000000000002,-7.1080000000000005,211,-0.6000000000000001,Art Long,2003,30,3
942,6.1,0.0,6.3,0.366,2.6,2.8,0.293,4.4,0.462,14.4,19.2,-4.2,135,-0.1,Arvydas Macijauskas,2006,26,1
943,13.8,3.4,28.8,0.422,9.7,1.9,0.144,19.3,0.617,15.2,25.5,6.7,1735,3.8,Arvydas Sabonis*,1996,31,1
944,14.6,3.7,28.3,0.436,7.9,1.9,0.201,18.4,0.592,16.1,23.9,5.4,1762,3.3,Arvydas Sabonis*,1997,32,2
